position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:19:06,6M,Michael Christoforou,M,SENIOR,6,Cambuslang Harriers,https://cambuslangharriers.org/,1
2,0:19:33,40M,Jonathan Moore,M,SENIOR,40,Motherwell AC,https://motherwellac.com/,3
3,0:19:49,10M,Andrew Taylor,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,4
4,0:19:56,34M,Ewan McKerral,M,SENIOR,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,5
5,0:20:12,10M,Cameron Young,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,7
6,0:20:19,10M,Cameron Muir,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,9
7,0:20:32,8M,Adam Stark,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,10
8,0:20:35,8M,Fraser Armstrong,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,11
9,0:20:44,7M,Conor Drummond,M,SENIOR,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,12
10,0:20:49,3M,Calum Borthwick,M,SENIOR,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,13
11,0:20:53,7M,Ally Stables,M,SENIOR,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,14
12,0:20:55,5M,Robert Hamlin,M,SENIOR,5,Westerlands CCC,https://westerlandsccc.co.uk/,15
13,0:21:04,37M,Allan Neill,M,SENIOR,37,Law & District AAC,http://www.lawaac.co.uk/,17
14,0:21:23,5M,Drew Carr,M,SENIOR,5,Westerlands CCC,https://westerlandsccc.co.uk/,19
15,0:21:34,10M,Andrew Shields,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,22
16,0:21:47,7M,Alastair Gray,M,SENIOR,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,24
17,0:21:53,1M,KENNY SCOTT,M,SENIOR,1,East Kilbride AC,http://www.ekac.org.uk/,26
18,0:21:58,2M,Tom Flood,M,SENIOR,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,28
19,0:22:02,3M,iain Murphy,M,SENIOR,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,29
20,0:22:21,56M,Connor Smith,M,SENIOR,56,West End RR,https://www.westendroadrunners.co.uk/,30
21,0:22:22,14M,Ben Forrest,M,SENIOR,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,31
22,0:22:45,8M,Darren McQuade,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,35
23,0:23:02,6M,Tom Adams,M,SENIOR,6,Cambuslang Harriers,https://cambuslangharriers.org/,37
24,0:23:08,5M,Evan Griffiths,M,SENIOR,5,Westerlands CCC,https://westerlandsccc.co.uk/,38
25,0:23:14,37M,Grant MacKenzie,M,SENIOR,37,Law & District AAC,http://www.lawaac.co.uk/,39
26,0:23:22,8M,Matthew Brown,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,41
27,0:23:25,27M,Stuart Miller,M,SENIOR,27,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/,42
28,0:23:50,54M,Noel Slevin,M,SENIOR,54,VP-Glasgow,https://www.vp-glasgow.com,45
29,0:23:59,1M,DAVID GORMAN,M,SENIOR,1,East Kilbride AC,http://www.ekac.org.uk/,46
30,0:24:15,56M,Ben Morgan,M,SENIOR,56,West End RR,https://www.westendroadrunners.co.uk/,49
31,0:24:17,6M,Kevin Farmer,M,SENIOR,6,Cambuslang Harriers,https://cambuslangharriers.org/,50
32,0:24:18,2M,Ross McNaught,M,SENIOR,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,51
33,0:24:22,5M,James Bryson,M,SENIOR,5,Westerlands CCC,https://westerlandsccc.co.uk/,53
34,0:24:36,8M,Calum Ferguson,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,56
35,0:24:44,6M,Ross Noble,M,SENIOR,6,Cambuslang Harriers,https://cambuslangharriers.org/,60
36,0:24:52,10M,Toby Hession,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,64
37,0:25:15,48M,Cal Haddow-McKitterick,M,SENIOR,48,Springburn Harriers,https://www.springburnharriers.co.uk/,66
38,0:25:44,8M,Anthony Carson,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,72
39,0:26:05,5M,Daniel Williams,M,SENIOR,5,Westerlands CCC,https://westerlandsccc.co.uk/,79
40,0:26:34,27M,Ed White,M,SENIOR,27,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/,84
41,0:26:48,8M,Alexander Winn,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,89
42,0:27:59,57M,James Cathie,M,SENIOR,57,Whitemoss AAC,https://whitemossaac.co.uk/,112
43,0:28:06,27M,Iain Newman,M,SENIOR,27,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/,116
44,0:28:33,17M,Scott Hair,M,SENIOR,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,119
45,0:31:35,27M,Neil Montgomery,M,SENIOR,27,Glasgow FrontRunners,https://www.glasgowfrontrunners.org/,144
