position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:09:38,9F,Erin Burnett,F,U13,9,Garscube Harriers,https://www.garscubeharriers.org.uk/,1
2,0:09:39,7F,Eilidh Caldow,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,2
3,0:09:57,44F,Lola Finnigan,F,U13,44,North Ayrshire AAC,https://naathletics.co.uk/,3
4,0:10:03,7F,Holly Simpson,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,4
5,0:10:07,7F,Emme Johnston,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,5
6,0:10:08,37F,Olivia Inglis,F,U13,37,Law & District AAC,http://www.lawaac.co.uk/,6
7,0:10:10,7F,Erika Tait,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,7
8,0:10:11,11F,Dionne Maguinness,F,U13,11,Airdrie Harriers,http://airdrieharriers.org/,8
9,0:10:18,7F,Nicole Yates,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,9
10,0:10:22,7F,Eve Cameron,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,10
11,0:10:25,4F,Olivia Lyne,F,U13,4,Inverclyde AC,https://www.inverclydeac.org/,11
12,0:10:30,4F,Grace Barry,F,U13,4,Inverclyde AC,https://www.inverclydeac.org/,12
13,0:10:35,54F,Freya Matheson,F,U13,54,VP-Glasgow,,13
14,0:10:43,7F,Eve Wilkinson,F,U13,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,14
15,0:10:47,44F,Emy Finnigan,F,U13,44,North Ayrshire AAC,https://naathletics.co.uk/,15
16,0:10:47,11F,Leanna Elliott,F,U13,11,Airdrie Harriers,http://airdrieharriers.org/,16
17,0:10:48,37F,Isla Cameron,F,U13,37,Law & District AAC,http://www.lawaac.co.uk/,17
18,0:10:50,57F,Maya Barcella,F,U13,57,Whitemoss AAC,https://whitemossaac.co.uk/,18
19,0:10:52,2F,Cara Monachello,F,U13,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,19
20,0:10:54,14F,Willow Challis,F,U13,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,20
21,0:10:55,2F,Madeline Curley,F,U13,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,21
22,0:10:57,10F,Mairi Stevens,F,U13,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,22
