position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website
1,0:14:13,1M,RORY CHARTERS,M,U15,1,East Kilbride AC,http://www.ekac.org.uk/
2,0:14:40,1M,BEN BAILLIE,M,U15,1,East Kilbride AC,http://www.ekac.org.uk/
3,0:14:44,1M,EUAN THORPE,M,U15,1,East Kilbride AC,http://www.ekac.org.uk/
4,0:14:49,6M,Angus O'Neil,M,U15,6,Cambuslang Harriers,https://cambuslangharriers.org/
5,0:15:00,7F,,F,U15,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
6,0:15:10,54M,Adam Watts,M,U15,54,VP-Glasgow,https://www.vp-glasgow.com
7,0:15:23,1M,BRIAN HESLOP,M,U15,1,East Kilbride AC,http://www.ekac.org.uk/
8,0:15:27,34M,,M,U15,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
9,0:15:30,34M,,M,U15,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
10,0:15:32,2M,Nicholas Latto,M,U15,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
11,0:15:40,37M,Blair Beverley,M,U15,37,Law & District AAC,http://www.lawaac.co.uk/
12,0:15:41,7M,,M,U15,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
13,0:15:41,32M,James McPherson,M,U15,32,Helensburgh AAC,https://www.helensburghaac.com/
14,0:15:41,11F,,F,U15,11,Airdrie Harriers,http://airdrieharriers.org/
15,0:15:43,14M,Lucan Marshall-Watt,M,U15,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
16,0:15:47,7F,,F,U15,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
17,0:15:51,11F,,F,U15,11,Airdrie Harriers,http://airdrieharriers.org/
18,0:16:05,10F,Olivia Caldwell,F,U15,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
19,0:16:12,36M,Aaron Scott,M,U15,36,Larkhall YMCA,https://www.larkhallymcaharriers.org
20,0:16:13,37F,Lucy Taylor,F,U15,37,Law & District AAC,http://www.lawaac.co.uk/
21,0:16:19,7F,,F,U15,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
22,0:16:27,32M,Cameron Lock,M,U15,32,Helensburgh AAC,https://www.helensburghaac.com/
23,0:16:44,14M,Iain Maclean,M,U15,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
24,0:16:48,1M,CHRISTOPHER PATON,M,U15,1,East Kilbride AC,http://www.ekac.org.uk/
25,0:16:50,4F,Kiera Gregory,F,U15,4,Inverclyde AC,https://www.inverclydeac.org/
26,0:16:51,37F,Olivia Inglis,F,U15,37,Law & District AAC,http://www.lawaac.co.uk/
27,0:16:55,1F,SKYE CHRISTIE,F,U15,1,East Kilbride AC,http://www.ekac.org.uk/
28,0:17:07,11F,,F,U15,11,Airdrie Harriers,http://airdrieharriers.org/
29,0:17:10,10M,Lucas Millican,M,U15,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
30,0:17:13,7F,,F,U15,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
31,0:17:16,11F,,F,U15,11,Airdrie Harriers,http://airdrieharriers.org/
32,0:17:23,44F,Eilidh Dunwoodie,F,U15,44,North Ayrshire AAC,https://naathletics.co.uk/
33,0:17:32,1F,EVA MORRISON,F,U15,1,East Kilbride AC,http://www.ekac.org.uk/
34,0:17:32,1F,CARRIE CHARTERS,F,U15,1,East Kilbride AC,http://www.ekac.org.uk/
35,0:17:41,10F,Kate Monaghan,F,U15,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
36,0:17:56,7F,,F,U15,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
37,0:18:02,10M,Cameron McArdle,M,U15,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
38,0:18:16,9F,Alexandra Bell,F,U15,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
39,0:18:18,44F,Leesa Dunwoodie,F,U15,44,North Ayrshire AAC,https://naathletics.co.uk/
40,0:18:18,2F,Cara Monachello,F,U15,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
41,0:18:34,11F,,F,U15,11,Airdrie Harriers,http://airdrieharriers.org/
42,0:18:43,2F,Eilidh Cooke,F,U15,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
43,0:18:43,14F,Anna Campbell,F,U15,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
44,0:18:45,37F,Sophie Nelson,F,U15,37,Law & District AAC,http://www.lawaac.co.uk/
45,0:18:52,11F,,F,U15,11,Airdrie Harriers,http://airdrieharriers.org/
46,0:18:55,2F,Charlotte Gebbie,F,U15,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
47,0:19:28,2F,Iona Stewart,F,U15,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
48,0:20:07,11F,,F,U15,11,Airdrie Harriers,http://airdrieharriers.org/
49,0:20:32,57F,Martha Cathie,F,U15,57,Whitemoss AAC,https://whitemossaac.co.uk/
50,0:21:41,2F,Rebecca McNulty,F,U15,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
