position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:26:49,1M,GRANT BAILLUE,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,4
2,0:27:36,10M,Jethro Lennox,M,MASTER,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,7
3,0:27:43,14M,Kenny Neill,M,MASTER,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,8
4,0:29:33,6M,Iain Murphy,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,17
5,0:30:31,32M,Claire Heasman,M,MASTER,32,Helensburgh AAC,https://www.helensburghaac.com/,30
6,0:30:43,3M,Craig Ross,M,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,31
7,0:32:15,14M,Alasdair Meldrum,M,MASTER,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,39
8,0:32:49,10M,John Duffy,M,MASTER,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,44
9,0:33:17,44M,Andy Willets,M,MASTER,44,North Ayrshire AAC,https://naathletics.co.uk/,53
10,0:33:40,44M,Mark Preston,M,MASTER,44,North Ayrshire AAC,https://naathletics.co.uk/,58
11,0:33:40,1M,JOHN EDWARDS,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,59
12,0:33:40,30M,Stephen Harrison,M,MASTER,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,61
13,0:34:12,10M,John Oates,M,MASTER,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,67
14,0:34:27,40M,DEREK O'NEILL 2ND),M,MASTER,40,Motherwell AC,https://motherwellac.com/,70
15,0:34:55,6M,Dan O'Connell,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,74
16,0:35:02,3M,Jonny Moran,M,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,75
17,0:35:12,2M,David Anderson,M,MASTER,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,77
18,0:35:32,42M,John Kelly,M,MASTER,42,Newton Road Runners,https://www.newton-roadrunners.com/,80
19,0:36:06,37M,Martin Kay,M,MASTER,37,Law & District AAC,http://www.lawaac.co.uk/,84
20,0:36:18,30M,Danny McLaughlin,M,MASTER,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,85
21,0:36:20,6M,Iain Wallace,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,87
22,0:36:43,3M,James Shepherd,M,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,92
23,0:36:49,1M,ARTHUR MULHOLLAND,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,94
24,0:36:55,3M,Tom Ferris,M,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,96
25,0:37:16,37M,Mark Milligan,M,MASTER,37,Law & District AAC,http://www.lawaac.co.uk/,99
26,0:37:47,3M,Thomas Thorne,M,MASTER,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,107
27,0:37:53,1M,GORDON COLVIN,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,108
28,0:38:02,40M,DAVID HOOLAGHAN (3RD),M,MASTER,40,Motherwell AC,https://motherwellac.com/,111
29,0:38:31,6M,Iain Crawford,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,115
30,0:38:42,2M,Ken Monaghan,M,MASTER,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,117
31,0:38:51,37M,John O'Leary,M,MASTER,37,Law & District AAC,http://www.lawaac.co.uk/,118
32,0:39:18,10M,John Tomms,M,MASTER,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,123
33,0:39:37,30M,Frank McMahon,M,MASTER,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,125
34,0:39:44,44M,Max Nowakowski,M,MASTER,44,North Ayrshire AAC,https://naathletics.co.uk/,126
35,0:40:52,30M,Gerry Gallacher,M,MASTER,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/,134
36,0:41:15,42M,Craig Lawton,M,MASTER,42,Newton Road Runners,https://www.newton-roadrunners.com/,136
