position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:19:33,40M,Jonathan Moore,M,SENIOR,40,Motherwell AC,https://motherwellac.com/,3
2,0:19:49,10M,Andrew Taylor,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,4
3,0:20:12,10M,Cameron Young,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,7
4,0:20:19,10M,Cameron Muir,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,9
5,0:20:32,8M,Adam Stark,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,10
6,0:20:35,8M,Fraser Armstrong,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,11
7,0:21:34,10M,Andrew Shields,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,22
8,0:21:53,1M,KENNY SCOTT,M,SENIOR,1,East Kilbride AC,http://www.ekac.org.uk/,26
9,0:21:58,2M,Tom Flood,M,SENIOR,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,28
10,0:22:22,14M,Ben Forrest,M,SENIOR,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,31
11,0:22:45,8M,Darren McQuade,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,35
12,0:23:22,8M,Matthew Brown,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,41
13,0:23:50,54M,Noel Slevin,M,SENIOR,54,VP-Glasgow,https://www.vp-glasgow.com,45
14,0:23:59,1M,DAVID GORMAN,M,SENIOR,1,East Kilbride AC,http://www.ekac.org.uk/,46
15,0:24:18,2M,Ross McNaught,M,SENIOR,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,51
16,0:24:36,8M,Calum Ferguson,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,56
17,0:24:52,10M,Toby Hession,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,64
18,0:25:44,8M,Anthony Carson,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,72
19,0:26:48,8M,Alexander Winn,M,SENIOR,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,89
20,0:27:59,57M,James Cathie,M,SENIOR,57,Whitemoss AAC,https://whitemossaac.co.uk/,112
