position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:20:02,2M,Jonathon Downey,M,SENIOR,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,1
2,0:20:33,1M,JOHN FERGUSSON,M,SENIOR,1,East Kilbride AC,http://www.ekac.org.uk/,2
3,0:20:49,10M,Luke Howard,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,3
4,0:21:01,2M,Jamie Work,M,U20,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,4
5,0:21:12,1M,PATRICK MOCHAN,M,SENIOR,1,East Kilbride AC,http://www.ekac.org.uk/,5
6,0:21:15,7M,,M,,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,6
7,0:21:31,10M,Allan Neil,M,SENIOR,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,7
8,0:21:38,5M,Drew Carr,M,SENIOR,5,Westerlands CCC,https://westerlandsccc.co.uk/,8
9,0:21:40,37M,,M,,37,Law & District AAC,http://www.lawaac.co.uk/,9
10,0:21:40,1M,GRANT BAILLIE,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,10
11,0:21:45,10M,Michael Paxton,M,MASTER,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,11
12,0:21:53,9M,,M,,9,Garscube Harriers,https://www.garscubeharriers.org.uk/,12
13,0:21:59,14M,,M,,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,13
14,0:22:01,4M,,M,,4,Inverclyde AC,https://www.inverclydeac.org/,14
15,0:22:12,35M,,M,,35,Kirkintilloch Olympians,https://kirkintillocholympians.co.uk/,15
16,0:22:22,3M,,M,,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,16
17,0:22:26,1M,JACK KIRWAN,M,SENIOR,1,East Kilbride AC,http://www.ekac.org.uk/,17
18,0:22:34,6M,Iain Reid,M,MASTER,6,Cambuslang Harriers,https://cambuslangharriers.org/,18
19,0:22:38,10M,Ronnie Strachan,M,MASTER,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,19
20,0:22:49,1M,KENNETH SCOTT,M,SENIOR,1,East Kilbride AC,http://www.ekac.org.uk/,20
21,0:23:02,1M,JONATHAN HUNTER,M,U20,1,East Kilbride AC,http://www.ekac.org.uk/,22
22,0:23:06,7M,,M,,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,23
23,0:23:07,37M,,M,,37,Law & District AAC,http://www.lawaac.co.uk/,24
24,0:23:13,8M,,M,,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,25
25,0:23:15,10M,Paul Sorrie,M,MASTER,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,26
26,0:23:38,14M,,M,,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,27
27,0:23:52,8M,,M,,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,28
28,0:23:59,3M,,M,,3,Bellahouston RR,https://www.bellahoustonroadrunners.co.uk/,29
29,0:23:59,8M,,M,,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,30
30,0:24:05,8M,,M,,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,31
31,0:24:05,2M,John Speirs,M,MASTER,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,32
32,0:24:12,35M,,M,,35,Kirkintilloch Olympians,https://kirkintillocholympians.co.uk/,33
33,0:24:29,6M,Gabriel Murphy,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/,34
34,0:24:50,7M,,M,,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,37
35,0:25:08,8M,,M,,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,39
36,0:25:10,8M,,M,,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,40
37,0:25:14,32M,Dougie Laird,M,MASTER,32,Helensburgh AAC,https://www.helensburghaac.com/,41
38,0:25:18,31M,mark wheeler,M,MASTER,31,Hamilton Harriers,,43
39,0:25:21,1M,JOHN EDWARDS,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,44
40,0:25:24,37M,,M,,37,Law & District AAC,http://www.lawaac.co.uk/,45
41,0:25:30,6M,Ross Noble,M,SENIOR,6,Cambuslang Harriers,https://cambuslangharriers.org/,46
42,0:25:32,8M,,M,,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,47
43,0:25:40,17M,,M,,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,48
44,0:25:43,1M,KEITH CHARTERS,M,MASTER,1,East Kilbride AC,http://www.ekac.org.uk/,49
45,0:25:54,2M,Greig Glendinning,M,MASTER,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,50
46,0:25:56,40M,O'Neill Derek,M,SENIOR,40,Motherwell AC,https://motherwellac.com/,51
47,0:25:56,17M,,M,,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,52
48,0:26:02,10M,John Duffy,M,MASTER,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,54
49,0:26:10,8M,,M,,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/,59
50,0:26:10,40M,Whyte Marcus,M,SENIOR,40,Motherwell AC,https://motherwellac.com/,60
51,0:26:12,53M,,M,,53,Troon Tortoises,http://troontortoises.co.uk,61
